Position, Company, Location, URL 
full details of Solidity Developer, Delta Hire, Remote, /pagead/clk?mo=r&ad=-6NYlbfkN0DzMqPHtizq4B_gJtT1ZvavnvoAyHFKLcaphdD20X80-zmjuv1rDuV8jz1T6Ux9T_uz2Xn3L8l8we7_WXYcMtnVzM0mZfs4JD8BLuugvtfLFr3YWRUN9EVydM2HbToQNtS-OdPBguBHrNqAFeroPcLYJWGUep4HWQriNJldWGzgZaWTVg4JN1q272x8Xy0F4SyAC0WTUXxAxzstFE3_UmmJ-pyMB2rNt8o0lHpqDoG1OJIPBrhXzCV4bJn212RfSq6fSB2tU3UmDtczpCTEapWDAZYHzn8AzeDu_AaVAx_0PauwLKZlrFEM29TCXdH-7LY4GpsqKzm0SoIFIde3jRPLzMn4Zx0D45Q1t-siGACm_H8DJOeJyWN46jdD-SV3RIum0Yciyl6jQ22S8ff4pOFppRsm2wyTldqvWOMERDW-1PPaCzTcIdxR8ysQntf6khIOfM9-bbxR9zSfQTqCyFfTnFiCBm-LqHU=&xkcb=SoAL-_M3ZhMK2XA0bz0IbzkdCdPP&p=13&fvj=1&vjs=3 
full details of Frontend Engineer, deCircle, Remote, /rc/clk?jk=dd5f0d586b805b4e&fccid=dd6c2e02e10f70bc&vjs=3 
full details of Lead Software Engineer, Job Protocol, Remote, /company/Job-Protocol/jobs/Lead-Software-Engineer-30ed6e8b1179c2c2?fccid=0ac0288fd2cfc747&vjs=3 
full details of Golang developer, Hacera, Remote in Apex  NC, /rc/clk?jk=bdd55007b24b72a7&fccid=0f02ea8300df52e9&vjs=3 
full details of Insomniac - Software Engineer, Live Nation, Hybrid remote in Calabasas  CA, /rc/clk?jk=d7f4da45b8f6ede1&fccid=f2d0ffe36bb2f0f4&vjs=3 
full details of Backend Engineer, Create protocol, Remote, /company/Create-protocol/jobs/Backend-Engineer-60f8b5fff9c6320e?fccid=74a31cc0b16520b7&vjs=3 
full details of Solidity Developer, Sara Technologies, San Diego  CA 92127, /rc/clk?jk=e5006545b2a525e5&fccid=4fd3a02fdb32668b&vjs=3 
full details of VP Engineering, LinksDAO, Remote in New York  NY, /rc/clk?jk=db62008584db33a2&fccid=dd616958bd9ddc12&vjs=3 
full details of Product Design Lead, Vibe Lab, Remote, /company/Vibe-Lab/jobs/Product-Design-Lead-1eaad9e5b4c79291?fccid=95199db00b67350f&vjs=3 
full details of Sr. Blockchain Developer, Tea Inc., Remote, /company/TEA-Inc./jobs/Senior-Blockchain-Developer-f6e6df1e89f67549?fccid=d8ed2031cd09daeb&vjs=3 
full details of Senior Wallet Developer, AlphaPoint, Remote, /rc/clk?jk=cf002b55ca0ab5ca&fccid=c57dc3d30573e961&vjs=3 
full details of Software Engineer Backend, Evmos, Remote in Miami  FL, /rc/clk?jk=ce9a412d5c6be0ac&fccid=1aab1f11c24989af&vjs=3 
full details of Site Reliability Engineer  Incident Response (EU Shift), Chainlink Labs, Remote, /rc/clk?jk=5cbf973f982588a7&fccid=2f9af8183fc08763&vjs=3 
full details of Backend Software Engineer (U.S. Citizenship Required), BlockTrace  LLC, Arlington  VA 22201, /company/BlockTrace,-LLC/jobs/Backend-Software-Engineer-bdee9a6fcc601022?fccid=41aff13747890d3e&vjs=3 
full details of dApp Developer, Energi Core Limited, Remote in New York  NY, /rc/clk?jk=fe047478a3c271c3&fccid=a08faff47362a3b1&vjs=3 
full details of [Klaytn] Developer Advocate, Krust Universe, Remote, /rc/clk?jk=492f2064845f39ff&fccid=dd616958bd9ddc12&vjs=3 
full details of Solidity Developer, Delta Hire, Remote, /pagead/clk?mo=r&ad=-6NYlbfkN0DzMqPHtizq4B_gJtT1ZvavnvoAyHFKLcaphdD20X80-zmjuv1rDuV8jz1T6Ux9T_uz2Xn3L8l8we7_WXYcMtnVzM0mZfs4JD8BLuugvtfLFr3YWRUN9EVydM2HbToQNtS-OdPBguBHrNqAFeroPcLYJWGUep4HWQriNJldWGzgZaWTVg4JN1q24WrL_zwBsT9q1TBZiKEEP7Fx1WxUzm2xh3BDtzEHoAwHaPoI9kT5EWPmcnb0Cdd2_t_cwKyK_Ll9mpRLxkCMGPT_uQ0Dgu3a00BY7ALsAXA_GosFVM8zx28HNqYOOcVKWaCi8pbKu-itjeKANjaJOK40dPObqUNgHaagQwQ1sEQOlDRTptdaJDfSr7nLx9c7aq9vVkWqA3SbCfoeJ1FCpV86EzhnGXZM8bEvKoX0zJZTMM9DlbMFXzlJZeP6tLvMTN97nI22S8LnEhHk2HQnNwvHVI4J5PZjH2LWRIpcv-Y=&xkcb=SoDw-_M3ZhMK_sRcGR0IbzkdCdPP&p=14&fvj=1&vjs=3 
full details of Web3 - Full Stack Developer, Kinsei Talent, New York  NY, /rc/clk?jk=ddeb7437435f1dbd&fccid=94013378dd5e846d&vjs=3 
full details of Software Developer in Test, Discreet Labs, Remote in Palo Alto  CA, /rc/clk?jk=3dc5402917c9937e&fccid=dd616958bd9ddc12&vjs=3 
full details of China Developer Relations Engineer (Remote), PureStake, Remote, /rc/clk?jk=0fe1688cd3e6b0ae&fccid=52f723a899ee27e6&vjs=3 
full details of Frontend Engineer, Syndicate, Remote, /rc/clk?jk=510fd003078f7b82&fccid=1fddf4571778c765&vjs=3 
full details of DAML- Smart Contract Software Engineer, INEVITABLE ENTERPRISE's Client, New York  NY, /company/INEVITABLE-ENTERPRISE/jobs/Daml-960548a5ac1c3c76?fccid=f9fc299b12e92308&vjs=3 
full details of Smart Contract Engineer, Royal Bank of Canada, Everywhere, /rc/clk?jk=a80106cf4efd82e4&fccid=537b899e30af3338&vjs=3 
full details of Smart Contract Engineer, EquiLend, Hybrid remote in New York  NY 10281, /rc/clk?jk=2b37559050862de3&fccid=fdbba1c1f2ca790d&vjs=3 
full details of Full Stack Development Lead, Horizon Media  Inc., New York  NY, /rc/clk?jk=ca99f35479ea586c&fccid=f2c8db2d75b00437&vjs=3 
full details of Chief Technology Officer (CTO), Empirical Labs, Remote, /company/Bebot/jobs/Chief-Technology-Officer-1eba581dfc6e12bb?fccid=6a6814237607ce06&vjs=3 
full details of Blockchain Strategist - Tech Consulting Senior, EY, Everywhere, /rc/clk?jk=f857c64a8050820d&fccid=1544766d4c2915b0&vjs=3 
full details of Senior Blockchain Engineer, Paradigm Connect, Remote, /rc/clk?jk=22d574092c8343f7&fccid=06868d5bf64dd490&vjs=3 
full details of Product Manager  Cryptocurrency & Blockchain, CipherTrace, Remote, /rc/clk?jk=00ebc555d7423f59&fccid=ca2ff5a2edb4a3f1&vjs=3 
full details of Solidity Developer, Delta Hire, Remote, /pagead/clk?mo=r&ad=-6NYlbfkN0DzMqPHtizq4B_gJtT1ZvavnvoAyHFKLcaphdD20X80-zmjuv1rDuV8jz1T6Ux9T_uz2Xn3L8l8we7_WXYcMtnVzM0mZfs4JD8BLuugvtfLFr3YWRUN9EVydM2HbToQNtS-OdPBguBHrNqAFeroPcLYJWGUep4HWQriNJldWGzgZaWTVg4JN1q24fi3CHtazRm9DG1Vwj5lhx9JPD-iWxPh9HzJJaYHnfK9u2SevwYbA7JcACdRzEwDN_LI1RaV6maA81gjWBOiLMhkqf5FfgB1W0ah5CFesrSxohDjHsUDHbTBI1OuT96ft-KQbXM2KNSbqwdWRhdFjoLb5OLb8mtTKPQg8uHAFurNGOx2WYmDeQcgHTG-vHSx-BWT0dnEziwUHU7d91SZPAtMAKcjbHEg_qki7KNM22rHYnokXSrU7I9ntzDylc4ks45r9V12kkf2B4lDRlA771G46ufUr2lYYXL211t6K_I=&xkcb=SoDJ-_M3ZhMKkgAD6j0PbzkdCdPP&p=12&fvj=1&vjs=3 
full details of Technical Support Engineer, Binance, Oregon, /rc/clk?jk=22cacedfb94afa56&fccid=ac2ee5578fa99fc9&vjs=3 
full details of Front End Engineer  Web3, Fox Corporation, Remote, /rc/clk?jk=aae2c655bd530f2b&fccid=61c19e057c54ec35&vjs=3 
full details of Protocol Engineer, Golden, Remote, /rc/clk?jk=cd394051891e4ffc&fccid=10b3285eab3c836c&vjs=3 
full details of Software Engineer: Blockchain (100% Remote), SFOX, Remote, /rc/clk?jk=0f27c89cfca279ff&fccid=d73dc8b5826665fe&vjs=3 
full details of Senior Blockchain Engineer, Recruiting From Scratch, Remote, /rc/clk?jk=650b4de8a0b411f7&fccid=09e02654c2f26bbd&vjs=3 
full details of Blockchain Security Expert - Certified Systems, Certified Kernel Tech LLC, New York  NY, /company/CertiK/jobs/Blockchain-Security-Expert-d2b7df9d7e9a41ad?fccid=090280294631493c&vjs=3 
full details of IoT Engineer, Piervin Technologies, Remote in Greenwood Village  CO 80111, /rc/clk?jk=e3415ccdbd4b2361&fccid=5b220495df287ead&vjs=3 
full details of QA Software Engineer, Chainlink Labs, Remote, /rc/clk?jk=b6b2dca6cb82eede&fccid=2f9af8183fc08763&vjs=3 
full details of Software Engineering Manager, Syndicate, Remote, /rc/clk?jk=ac09deea9372b65d&fccid=1fddf4571778c765&vjs=3 
full details of Sr. Backend Web3 Engineer, Azra Games, Remote, /rc/clk?jk=3afbeedee70b2bf8&fccid=f4e7390bb5c27fbc&vjs=3 
full details of Staff Software Engineer  Backend, Sorare, New York  NY, /rc/clk?jk=7d82aaaf286218c6&fccid=5ce6d9ea47ab4b2d&vjs=3 
full details of Blockchain Architect, Tea Inc., Remote, /company/TEA-Inc./jobs/Blockchain-Architect-9eb4b90fa09a5a6c?fccid=d8ed2031cd09daeb&vjs=3 
full details of Software Developer - Crypto Trading, Susquehanna International Group, Bala-Cynwyd  PA, /rc/clk?jk=b3f62719337ba0ba&fccid=4cd66e5617f038d8&vjs=3 
full details of Protocol Engineer, Prysm, San Francisco  CA, /rc/clk?jk=d010ade639088484&fccid=a7a9dfa67993a70b&vjs=3 
full details of Blockchain Developer, Spectrum Talent Management, Remote, /company/Spectrum-Talent-Management/jobs/Blockchain-Developer-d1792e21749e879f?fccid=1d6e35b4c0ce27f3&vjs=3 
full details of Solidity Developer, Delta Hire, Remote, /pagead/clk?mo=r&ad=-6NYlbfkN0DzMqPHtizq4B_gJtT1ZvavnvoAyHFKLcaphdD20X80-zmjuv1rDuV8jz1T6Ux9T_uz2Xn3L8l8we7_WXYcMtnVzM0mZfs4JD8BLuugvtfLFr3YWRUN9EVydM2HbToQNtS-OdPBguBHrNqAFeroPcLYJWGUep4HWQriNJldWGzgZaWTVg4JN1q24Dk21mmsjgkFQdinueXDjYF9SAKgt_K4bDUf-fd9J3nyI8saJmOohKNCngiIjha0UJynfkIDyXF3gj5nExYQttdUphM0MYxQtgM-T2ivp3JKQW4XyIxb6nimd_LXCYq3yckA-j7K154rfau_3eVZTURR1-LHK6yEhkW60PTfoorMryZf1uvuH6BeQunWC22fV9YtxYNNyCGiTJ-wpKZk2zgGURtKM87FhIlgxMdxaRgjtOiOumF7-SEAoDJJCkdMvgsxUszqUTtpTKoLrpM4u2wNY7I7SGeWSZ0Fu0hDg9I=&xkcb=SoBt-_M3ZhMKs4xTkZ0KbzkdCdPP&p=13&fvj=1&vjs=3 
full details of Principal Blockchain Developer, Fidelity Investments, Temporarily Remote in Durham  NC 27709, /rc/clk?jk=71bf81ac6d2d6d88&fccid=deb234f9dd3edcea&vjs=3 
full details of Senior Developer Documentation Writer/ Technical Documentati..., Chainlink Labs, Remote, /rc/clk?jk=5d2ea95d2a4b7b45&fccid=2f9af8183fc08763&vjs=3 
full details of Senior Software Engineer - Go, Axoni, Remote, /rc/clk?jk=d60080a98335b8e7&fccid=9061f6f95e8bca66&vjs=3 
full details of Front-End Software Engineer, Codenotary, Remote, /rc/clk?jk=ab3c5aa23d366c97&fccid=2ad9fdee18cbde8a&vjs=3 
full details of Senior Software Engineer  Filecoin Virtual Machine (FVM), Protocol Labs, Remote, /rc/clk?jk=be788cc972986280&fccid=27aa2e0031877d77&vjs=3 
full details of Developer Backend (Blockchain integration), LATOKEN, Remote, /rc/clk?jk=f2bec66eb5e59e7b&fccid=9c73e4076812680c&vjs=3 
full details of Security Automation Blockchain Engineer (Remote), PureStake, Remote, /rc/clk?jk=ca465383291784da&fccid=52f723a899ee27e6&vjs=3 
full details of Software Engineering Manager  Digital Key & Remote Park, Toyota, Remote in Plano  TX 75023, /rc/clk?jk=2f60504d83f811d7&fccid=90f0cbc4a30f8dba&vjs=3 
full details of Google Cloud Infrastructure Engineer, Toniq Labs, Remote, /rc/clk?jk=075ac8f56425cb55&fccid=dd616958bd9ddc12&vjs=3 
full details of Tellie - Staff Software Engineer  Product (Full-Stack  remot..., Braintrust, Remote in San Francisco  CA 94133, /rc/clk?jk=44b12a3013d2c9e9&fccid=cffd065f9ff9e672&vjs=3 
full details of Fullstack Software Engineer  Smart Contracts, Adim, Los Angeles  CA, /rc/clk?jk=77f50126a5cf12b6&fccid=4694e4f208fa6bed&vjs=3 
full details of Senior Protocol Engineer, Spanning Labs, San Francisco  CA, /rc/clk?jk=6843d23328e6f74e&fccid=dd616958bd9ddc12&vjs=3 
full details of Data Engineers (Blockchain & Crypto), Capgemini, Hybrid remote in New York  NY, /rc/clk?jk=e1c85be982072783&fccid=105ecfd0283f415f&vjs=3 
full details of Senior Experience Designer - Havas NY, Havas, Everywhere, /rc/clk?jk=2abe5fb4373e84f1&fccid=383d6a00135d5d1a&vjs=3 
full details of Solidity Developer, Delta Hire, Remote, /pagead/clk?mo=r&ad=-6NYlbfkN0DzMqPHtizq4B_gJtT1ZvavnvoAyHFKLcaphdD20X80-zmjuv1rDuV8jz1T6Ux9T_uz2Xn3L8l8we7_WXYcMtnVzM0mZfs4JD8BLuugvtfLFr3YWRUN9EVydM2HbToQNtS-OdPBguBHrNqAFeroPcLYJWGUep4HWQriNJldWGzgZaWTVg4JN1q2XoJfixskKDyhm0YZzYOnBXlwL7Cka5gf37kd6wjX982kLgdrfLyFSHX5fmMr20BRBZGC-TSZolP9lnu-T60q_FaarmGunYAWEOcx-y-nS1Q3DpcfBegnjiR1Xkz87PgxRxVL1R2Q2bFnGj4A3SAroi47tMhIvwZXBdMoSzXiz2oZHjzlib4PyByqbpyt7z2k7gIw_I14GDIoLt78WvYcMetBsQihYqX6A5BKDoEU_Tuv3VHkb49NYEEQlAzSu88mGlrLR1L29-x6DjjvrNEY1ZUmcwSGDdulro77WFaniyY=&xkcb=SoBB-_M3ZhMKTORgQh0IbzkdCdPP&p=13&fvj=1&vjs=3 
full details of Blockchain Engineer, Blocknative Corporation, Remote, /rc/clk?jk=f7e63ddcfb6757b8&fccid=3def73997cdde853&vjs=3 
full details of Senior Blockchain Developer, Masa Finance, Remote in San Francisco  CA, /rc/clk?jk=c3002449f4deafdd&fccid=dd616958bd9ddc12&vjs=3 
full details of Senior PHP Developer, First Beat Media, Remote in Weston  FL, /rc/clk?jk=08643cc7b6713db7&fccid=454270b0efaa69bc&vjs=3 
full details of Senior Frontend Engineer, Waterfall, New York  NY 10023, /company/Waterfall/jobs/Senior-Frontend-Engineer-3e68f21d1f5ed535?fccid=6c9ee58ed0b2b847&vjs=3 
full details of Lead Front-End Engineer for Polygon-Backed Blockchain Startu..., Real Items, Remote, /company/Real-Items/jobs/Lead-Front-End-Engineer-Polygon-Backed-Blockchain-Startup-42973fda99a5df85?fccid=18d0fc28f1ce91b6&vjs=3 
full details of Senior Software Engineer  Web3, Roblox, San Mateo  CA, /rc/clk?jk=bdb4dd46a234c4bb&fccid=04ef150429d33336&vjs=3 
full details of Blockchain Senior Associate, Armanino LLP, San Francisco  CA 94104, /rc/clk?jk=6c3fbba9bb65e204&fccid=4ef0d5f3e4778999&vjs=3 
full details of Data Scientist, Finastra, Atlanta  GA, /rc/clk?jk=d4d1f2fc3abc65e0&fccid=1f9d0530a51ff611&vjs=3 
full details of [Klaytn] Blockchain Engineer (Frontend Focus), Krust Universe, Remote, /rc/clk?jk=8c41a162b3206741&fccid=dd616958bd9ddc12&vjs=3 
full details of Web3 Blockchain Engineer, Edrstaffing, Remote, /rc/clk?jk=53b9644eb4c90e31&fccid=9c64a5c780f4ce99&vjs=3 
full details of Senior Frontend Engineer - MadProductions, MadProductions, Remote in New York  NY, /rc/clk?jk=1d94bd6f7943fee0&fccid=dd616958bd9ddc12&vjs=3 
full details of Smart Contract Engineer (Golang), Ignite, Remote, /rc/clk?jk=d543e38c2941c957&fccid=2e079494548db3d1&vjs=3 
full details of Java Developer - 4442920, Accenture, Los Angeles  CA, /rc/clk?jk=4cbe800f962586ea&fccid=a4e4e2eaf26690c9&vjs=3 
full details of Blockchain Engineer (Remote), Sturdy Exchange Corporation, Remote, /rc/clk?jk=00eff58dac326956&fccid=d2509990bde4f4af&vjs=3 
full details of Solidity Developer, Delta Hire, Remote, /pagead/clk?mo=r&ad=-6NYlbfkN0DzMqPHtizq4B_gJtT1ZvavnvoAyHFKLcaphdD20X80-zmjuv1rDuV8jz1T6Ux9T_uz2Xn3L8l8we7_WXYcMtnVzM0mZfs4JD8BLuugvtfLFr3YWRUN9EVydM2HbToQNtS-OdPBguBHrNqAFeroPcLYJWGUep4HWQriNJldWGzgZaWTVg4JN1q2Jv0iAsBWHVETUnk5N93uPq1FBzaH5BnxAXVQ_lai4qfaL7eLBKvK99MPjsC7Zh7O40AEkjFOFuwRMLw_T3Pw7-EYMuV_4ykpNYa8d-yhA9hFi69Z1OMOCZxWYeHb9-zSbPtYbavDElq2XGotCADCy1lGbbyE4mNT3Ng6M0JNvnFXYPLBvGeMrNlW-y2FGeHzAP4Rtt8rEcgmVv2sG7l3SB5udj6aA6PttdivUbPzkLgZJg4UbwBv5iO_yBXytVO50KgSJl0DpnSUrHPnIlyL4P7Bz49lTiOnOaXG8fs1feM=&xkcb=SoDW-_M3ZhMKEnQjsJ0JbzkdCdPP&p=13&fvj=1&vjs=3 
full details of Senior QA Automation Engineer, NCube, Remote, /rc/clk?jk=9588f8d6abd843f9&fccid=bfd35c712eb56c02&vjs=3 
full details of Blockchain Manager, Armanino LLP, San Francisco  CA 94104, /rc/clk?jk=0c794b1914f99e42&fccid=4ef0d5f3e4778999&vjs=3 
full details of Senior Ethereum Blockchain Engineering Consultant, Chainyard, Morrisville  NC, /rc/clk?jk=f5063f6b3e7a9e4c&fccid=af0904b560c6be17&vjs=3 
full details of Head of Blockchain Strategy, DISH, Littleton  CO 80120, /rc/clk?jk=fe5a4fd58123c99c&fccid=3c371b712ace44cf&vjs=3 
full details of Senior Software Engineer, Equity Shift, Remote in Raleigh  NC, /rc/clk?jk=e91a7e29cc01e884&fccid=dd616958bd9ddc12&vjs=3 
full details of Software Engineer - Blockchain Services, Chainlink Labs, Remote, /rc/clk?jk=3909931f267ff0fb&fccid=2f9af8183fc08763&vjs=3 
full details of Blockchain Security Engineer, Protochain Research, Remote, /rc/clk?jk=87eabac6dc3e95d6&fccid=dd616958bd9ddc12&vjs=3 
full details of React + Blockchain Developer, Velvetech, Remote in Northbrook  IL 60062, /rc/clk?jk=69db99acb41119db&fccid=94f9353a75bb63a8&vjs=3 
full details of Lead Blockchain Engineer, Share Ventures, Los Angeles  CA 90230, /company/Share-Ventures/jobs/Lead-Blockchain-Engineer-fec2638a121bc517?fccid=cb8ec0e1a6bde460&vjs=3 
